name,SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS,name
LIG14,c1nc(NCC2CCCOC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1,363.417,0.447133745,4,0.266666667,1,0.2,6,0.5,0,1,3.864,0.703140646,LIG
LIG15,COc1c(O)ccc2c(=O)c3c(O)cc4c(c3[nH]c12)C=CC(C)(C)O4,339.347,0.384260541,1,0.066666667,3,0.6,5,0.375,0,1,2.8034,0.542224245,LIG
LIG16,Nc1ccc(-c2cc(-c3cccnc3)cs2)cn1,253.33,0.159575691,2,0.133333333,1,0.2,4,0.25,0,1,3.4543,0.640980124,LIG
LIG17,COCCn1cc(-c2ccncc2)c2ccncc21,253.305,0.159510388,4,0.266666667,0,0,4,0.25,0,1,2.7447,0.533318161,LIG
LIG18,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,425.892,0.610324579,4,0.266666667,2,0.4,6,0.5,0,1,3.66452,0.672875133,LIG
LIG19,COc1ccc(Nc2ncnc3ccc4nc(C(=N)N(C)C)sc4c23)cc1,378.461,0.48643015,5,0.333333333,2,0.4,7,0.625,0,1,3.87867,0.705366409,LIG
LIG20,COc1ncc2cc(C(=O)Nc3cc(C(=O)NC(CCN(C)C)c4cccc(Cl)c4)ccc3Cl)c(=O)[nH]c2n1,569.449,0.98530956,11,0.733333333,3,0.6,7,0.625,0,1,3.8267,0.697481414,LIG
LIG21,O=C(Nc1cncc(-c2cc(-c3cccnc3)cs2)c1)c1ccccc1Cl,391.883,0.521489732,5,0.333333333,1,0.2,4,0.25,0,1,5.7778,0.993506296,LIG
LIG22,COc1ccc2c(c1)[nH]c1c(C)nc(CO)cc12,242.278,0.130706782,2,0.133333333,2,0.4,3,0.125,0,1,2.04352,0.426933697,LIG
LIG23,COc1cccc(N(C)c2nccc(-c3cnn4ncccc34)n2)c1,332.367,0.366028096,4,0.266666667,0,0,7,0.625,0,1,2.9628,0.566408739,LIG
LIG24,O=C(Nc1cc(-c2cn(-c3ccccc3)c3cnccc23)ccn1)C1CC1,354.413,0.423614413,5,0.333333333,1,0.2,4,0.25,0,1,4.436,0.789925656,LIG
LIG25,CN(C)C(=N)c1nc2ccc3ncnc(Nc4ccc(Br)cc4F)c3c2s1,445.321,0.661075035,4,0.266666667,2,0.4,6,0.5,0,1,4.77167,0.840854195,LIG
LIG26,Cc1cc(-c2ccc3ncc4nnn([C@H](C)c5ccc(F)cc5)c4c3c2)ccn1,383.43,0.499409666,3,0.2,0,0,5,0.375,0,1,5.09832,0.890414201,LIG
LIG27,CC1(Cn2cc(-c3ccncc3)c3ccncc32)COC1,279.343,0.227524201,3,0.2,0,0,4,0.25,0,1,3.1348,0.592504931,LIG
LIG28,COc1cc2[nH]c(=O)c(C(=O)Nc3cc(C(=O)NC(CCN)c4ccsc4)ccc3Cl)cc2cn1,511.991,0.835223622,10,0.666666667,4,0.8,7,0.625,0,1,3.2369,0.607995752,LIG
LIG29,Oc1ccc(-c2cnc3[nH]cc(-c4ccc(O)cc4)c3c2)cc1,302.333,0.287576339,2,0.133333333,3,0.6,3,0.125,0,1,3.8262,0.697405553,LIG
LIG30,CC(C)n1cc(-c2ccncc2)c2ccncc21,237.306,0.117719429,2,0.133333333,0,0,3,0.125,0,1,3.6792,0.675102412,LIG
LIG31,COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cccc(F)c4F)cc23)CC1,428.483,0.617092526,8,0.533333333,2,0.4,4,0.25,0,1,3.1144,0.589409801,LIG
LIG32,CN(C)CCn1cc(-c2ccn3c(-c4ccc(C(N)=O)c(OCc5cccc(F)c5)c4)cnc3c2)cn1,498.562,0.800145755,9,0.6,1,0.2,7,0.625,0,1,4.2434,0.76070399,LIG
LIG33,COc1ccc2c(c1)[nH]c1c(Cl)nccc12,232.67,0.105609742,1,0.066666667,1,0.2,2,0,0,1,2.8962,0.556304051,LIG
LIG34,CC[C@@H](CO)Nc1ccc2ncc(-c3cccc(S(C)(=O)=O)c3)n2n1,360.439,0.439354916,6,0.4,2,0.4,7,0.625,0,1,1.9826,0.41769079,LIG
LIG35,O=C1NC(=O)/C(=C/c2ccc3nccnc3c2)S1,257.274,0.169877806,1,0.066666667,1,0.2,5,0.375,0,1,1.9537,0.413306023,LIG
LIG36,COc1ccc2c(c1)CC(n1c(C)nc3ccc(-c4cc(N)nc(N)c4)nc31)C2,386.459,0.507321711,3,0.2,2,0.4,7,0.625,0,1,3.31462,0.619787589,LIG
LIG37,COC(=O)C1=C(Nc2ccccc2Cl)O/C(=C\c2c[nH]c3ncccc23)C1=O,395.802,0.531726545,5,0.333333333,2,0.4,6,0.5,0,1,3.1713,0.598042786,LIG
LIG38,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,349.777,0.411504725,3,0.2,2,0.4,4,0.25,0,1,4.8782,0.857017145,LIG
LIG39,COc1cccc2c1[nH]c1c3ccccc3nc(C(=O)O)c21,292.294,0.261353485,2,0.133333333,2,0.4,3,0.125,0,1,3.0942,0.586345016,LIG
LIG40,Cc1nccc(-c2c[nH]c3cnccc23)n1,210.24,0.04702038,1,0.066666667,1,0.2,3,0.125,0,1,1.84642,0.397029282,LIG
LIG41,COc1ccc(/C=C2/SC(=S)NC2=O)cc1,251.332,0.154356719,2,0.133333333,1,0.2,4,0.25,0,1,2.184,0.44824761,LIG
LIG42,Nc1nccc(-c2c[nH]c3cnccc23)n1,211.228,0.049601133,1,0.066666667,2,0.4,4,0.25,0,1,1.1202,0.286845699,LIG
LIG43,C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccc5c(c4)OCO5)cc3c21,412.424,0.575144841,3,0.2,0,0,6,0.5,0,1,5.1236,0.894249734,LIG
LIG44,Cc1ccsc1CN(C)c1ncnc2ccc(-c3ccc(CO)o3)cc12,365.458,0.452465037,5,0.333333333,1,0.2,6,0.5,0,1,4.38842,0.782706721,LIG
LIG45,CSc1ccc2ncc(-c3ccc4[nH]ccc4c3)n2n1,280.356,0.230170257,2,0.133333333,1,0.2,4,0.25,0,1,3.1176,0.589895312,LIG
LIG46,CC(C)n1cnc2c(Nc3cncnc3)nc(Nc3cncnc3)nc21,348.374,0.407839952,5,0.333333333,2,0.4,10,1,0,1,2.4744,0.492307692,LIG
LIG47,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1N,245.238,0.138438592,1,0.066666667,1,0.2,5,0.375,0,1,0.5429,0.199256562,LIG
LIG48,CCOC(=O)c1c(/C(C#N)=C/N)c2ccc(Cl)c(Cl)c2n1C,338.194,0.381248792,4,0.266666667,1,0.2,5,0.375,0,1,3.48498,0.645634957,LIG
LIG49,O=C(Nc1cccc(O)c1)Nc1nc2ccc(O)cc2s1,301.327,0.284948568,4,0.266666667,4,0.8,5,0.375,0,1,3.3515,0.625383098,LIG
LIG50,O=C1N=C(Nc2ccccc2)N=C1Cc1ccc2c(c1)OCO2,307.309,0.300574139,4,0.266666667,1,0.2,5,0.375,0,1,2.4071,0.482096799,LIG
LIG51,Cn1cc(-c2csc(-c3cccnc3)c2)cn1,241.319,0.128201779,2,0.133333333,0,0,4,0.25,0,1,3.2106,0.604005462,LIG
LIG52,O=[N+]([O-])c1ccc(-c2cnc3[nH]cc(-c4ccc(O)cc4)c3c2)cc1,331.331,0.363321962,3,0.2,2,0.4,4,0.25,0,1,4.0288,0.728144439,LIG
LIG53,COc1ccc2sc(C(=O)N(C)Cc3ccccc3)cc2c1,311.406,0.311275905,5,0.333333333,0,0,3,0.125,0,1,4.1821,0.751403429,LIG
LIG54,Nc1cc(-c2c[nH]c3c(Cl)cccc23)ccn1,243.697,0.134413349,1,0.066666667,2,0.4,2,0,0,1,2.9836,0.569564558,LIG
LIG55,COC(=N)c1nc2ccc3ncnc(Nc4ccc(O)c([N+](=O)[O-])c4)c3c2s1,396.388,0.533257234,5,0.333333333,3,0.6,10,1,0,1,3.56867,0.658332575,LIG
LIG56,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,466.541,0.716503759,2,0.133333333,2,0.4,6,0.5,0,1,4.354,0.777484448,LIG
LIG57,N=C(OCc1ccccc1)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,455.499,0.687660971,6,0.4,2,0.4,9,0.875,0,1,5.25397,0.914029738,LIG
LIG58,COc1ccc2c(c1)[nH]c1c3ccncc3cc(CN(C)C)c21,305.381,0.295538014,3,0.2,1,0.2,3,0.125,0,1,3.4576,0.641480807,LIG
LIG59,NCCC(NC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(N4CCC(N)CC4)nc3[nH]c2=O)c1)c1ccccc1,575.073,1,10,0.666666667,5,1,8,0.75,0,1,2.4893,0.494568351,LIG
LIG60,CCC[C@H](O)Nc1nc(Nc2ccc(-c3ncccn3)cc2)c2ncn(C(C)C)c2n1,418.505,0.59102901,8,0.533333333,3,0.6,9,0.875,0,1,4.1382,0.744742831,LIG
LIG61,CC(=O)Nc1cccc(Nc2ccc3ncc(-c4cccc(NC(C)=O)c4)n3n2)c1,400.442,0.54384668,7,0.466666667,3,0.6,6,0.5,0,1,4.0567,0.732377484,LIG
LIG62,COc1cccc2c(-c3ccnc(N)n3)c[nH]c12,240.266,0.12545124,2,0.133333333,2,0.4,4,0.25,0,1,1.7338,0.379942346,LIG
LIG63,NCCOCCOCCOCCOc1ccc(NC2=N/C(=C\c3ccc4c(c3)OCO4)C(=O)N2)cc1,498.536,0.800077841,15,1,3,0.6,10,1,0,1,1.7414,0.381095433,LIG
LIG64,c1cncc(CNc2ccnc(-c3ccc4[nH]ncc4c3)n2)c1,302.341,0.287597235,4,0.266666667,2,0.4,5,0.375,0,1,2.5451,0.503034441,LIG
LIG65,NS(=O)(=O)c1ccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)cc1,350.403,0.413139899,3,0.2,2,0.4,4,0.25,0,1,2.4574,0.489728418,LIG
LIG66,O=C1OCC/C1=C\c1ccc2c(c1)OCCO2,232.235,0.104473479,1,0.066666667,0,0,4,0.25,0,1,1.7881,0.388180853,LIG
LIG67,CCn1c(-c2nonc2N)nc2cnccc21,230.231,0.099238835,2,0.133333333,1,0.2,7,0.625,0,1,1.0834,0.281262327,LIG
LIG68,NCC(Nc1nccc(-c2n[nH]c3nc(NCCN4CCOCC4)ncc23)n1)c1ccccc1,460.546,0.70084423,9,0.6,4,0.8,10,1,0,1,1.184,0.296525565,LIG
LIG69,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,288.314,0.250957334,3,0.2,1,0.2,6,0.5,0,1,2.9299,0.561417084,LIG
LIG70,CN(C)CCNC(=N)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,435.513,0.635455576,7,0.466666667,3,0.6,9,0.875,0,1,3.18837,0.600632681,LIG
LIG71,COc1cc(-c2cc(=O)c3c(O)cc(O)c(C/C=C(\C)CCC=C(C)C)c3o2)ccc1O,436.504,0.638044165,7,0.466666667,3,0.6,6,0.5,0,1,5.8206,1,LIG
LIG72,CC(C)Oc1ccc(F)c(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCC[C@@H](C(=O)O)C3)n2)c1,494.527,0.789605939,8,0.533333333,3,0.6,8,0.75,0,1,3.6004,0.663146715,LIG
LIG73,Cc1cc(=O)oc2cc3cc(O)ccc3cc12,226.231,0.088790442,0,0,1,0.2,3,0.125,0,1,2.96022,0.566017296,LIG
LIG74,CC(C)n1c(C(CO)CO)nc2c(Nc3ccnnc3)ncnc21,329.364,0.358183965,6,0.4,3,0.6,9,0.875,0,1,1.009,0.269974207,LIG
LIG75,COc1cc(-c2c[nH]c3cnccc23)ccn1,225.251,0.086230586,2,0.133333333,1,0.2,3,0.125,0,1,2.1516,0.443331816,LIG
LIG76,Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,392.153,0.522194998,2,0.133333333,4,0.8,8,0.75,0,1,-0.7704,0,LIG
LIG77,COc1ccc2sc(C(=O)N(C)OC)cc2c1,251.307,0.154291416,4,0.266666667,0,0,4,0.25,0,1,2.5433,0.502761341,LIG
LIG78,CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1N(C)CCN,419.493,0.593609763,9,0.6,4,0.8,9,0.875,0,1,2.27218,0.46162646,LIG
LIG79,O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\O,356.179,0.428227378,0,0,3,0.6,4,0.25,0,1,3.4163,0.635214687,LIG
LIG80,COc1ccc2ncc(-c3cccc(/C=N/O)c3)n2n1,268.276,0.19861611,3,0.2,1,0.2,6,0.5,0,1,2.213,0.45264755,LIG
LIG81,NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,402.48,0.549170136,6,0.4,3,0.6,7,0.625,0,1,2.2211,0.453876498,LIG
LIG82,CS(=O)(=O)Nc1ccc(-c2cnc3[nH]cc(-c4ccc(O)cc4)c3c2)cc1,379.441,0.488990006,4,0.266666667,3,0.6,4,0.25,0,1,3.4921,0.646715218,LIG
LIG83,Cc1nc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cs1,376.441,0.481153712,4,0.266666667,1,0.2,7,0.625,0,1,4.40252,0.784846002,LIG
LIG84,COc1ccc(-c2c3c4cc(OC)c(O)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,499.475,0.802530601,4,0.266666667,3,0.6,9,0.875,0,1,5.1617,0.900030344,LIG
LIG85,CC[C@@H](CO)N(C(C)=O)c1ccc2ncc(-c3cccc(NC(C)=O)c3)n2n1,381.436,0.494201142,8,0.533333333,2,0.4,6,0.5,0,1,2.4785,0.492929753,LIG
LIG86,COc1ccc2ncc(-c3ccnc(SC)n3)n2n1,273.321,0.211794146,3,0.2,0,0,7,0.625,0,1,1.9168,0.40770748,LIG
LIG87,Cn1nc(-c2cnc(N)c(-c3ccc(C(N)=O)c(F)c3)n2)nc1C1(c2ccccc2)CC1,429.459,0.619641934,5,0.333333333,2,0.4,7,0.625,0,1,2.8392,0.547655894,LIG
LIG88,N#Cc1c(N)cc2[nH]nc(N)c2c1-c1ccccc1,249.277,0.148988857,1,0.066666667,3,0.6,4,0.25,0,1,1.78408,0.38757093,LIG
LIG89,Nc1nccc(-c2cn(S(=O)(=O)c3ccc(C(F)(F)F)cc3[N+](=O)[O-])c3ccc(Br)cc23)n1,542.293,0.914375421,5,0.333333333,1,0.2,8,0.75,0,1,4.607,0.815870126,LIG
LIG90,CCOC(=O)Nc1ccc2ncc(-c3cccc(Cl)c3)n2n1,316.748,0.325229734,5,0.333333333,1,0.2,5,0.375,0,1,3.6181,0.665832195,LIG
LIG91,C[C@]12O[C@H]([C@H](O)[C@H](O)[C@H]1O)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O,469.453,0.724110189,0,0,4,0.8,8,0.75,0,1,2.0838,0.433045061,LIG
LIG92,O=C1NC(=S)N/C1=C\c1ccc2ncsc2c1,261.331,0.180475088,1,0.066666667,2,0.4,4,0.25,0,1,1.6415,0.365938401,LIG
LIG93,COc1ccc2[nH]cc(-c3cc4cnccc4cc3NC(C)=O)c2c1,331.375,0.363436894,4,0.266666667,2,0.4,3,0.125,0,1,3.8682,0.703777879,LIG
LIG94,COc1ccc2c3ccnc(C)c3n(CCCN)c2c1,269.348,0.20141628,4,0.266666667,1,0.2,4,0.25,0,1,2.85532,0.550101654,LIG
LIG95,COc1ccc2[nH]c3c(=O)[nH]nc(-c4ccco4)c3c2c1,281.271,0.232560326,2,0.133333333,2,0.4,4,0.25,0,1,1.7092,0.376209983,LIG
LIG96,CC(C)c1cnn2c(NCc3ccc(-c4ccccn4)cc3)nc(N[C@H]3CC[C@H](N)CC3)nc12,456.598,0.690531666,7,0.466666667,3,0.6,8,0.75,0,1,4.6036,0.815354271,LIG
LIG97,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,476.792,0.743280377,1,0.066666667,1,0.2,2,0,0,1,4.197,0.753664087,LIG
LIG98,COC(=N)c1nc2ccc3ncnc(Nc4ccc(N5CCCC5)cc4)c3c2s1,404.499,0.554443963,5,0.333333333,2,0.4,8,0.75,0,1,4.55507,0.8079912,LIG
LIG99,CCN1/C(=C/C(C)=O)Sc2ccc(OC)cc21,249.335,0.149140358,3,0.2,0,0,4,0.25,0,1,3.0576,0.580791989,LIG
LIG100,O=C1NC(=S)S/C1=C\c1ccc2c(c1)CCO2,263.343,0.18573063,1,0.066666667,1,0.2,4,0.25,0,1,2.1103,0.437065696,LIG
LIG101,CCNCc1ccc(-c2ccc3ncnc(NCC(C)(C)C)c3c2)o1,338.455,0.38193055,7,0.466666667,2,0.4,5,0.375,0,1,4.4573,0.793157336,LIG
LIG102,O/N=C/c1cccc(-c2cnc3ccc(Cl)nn23)c1,272.695,0.210158972,2,0.133333333,1,0.2,5,0.375,0,1,2.8578,0.550477924,LIG
LIG103,COc1ccc2c(c1)[nH]c1c(N3CCCC3)nccc12,267.332,0.19615029,2,0.133333333,1,0.2,3,0.125,0,1,2.843,0.548232438,LIG
LIG104,COc1cc2cc(C(=O)Nc3cc(C(=O)NC(CN)c4ccccc4)ccc3C)c(=O)[nH]c2cc1OC,500.555,0.805351667,10,0.666666667,4,0.8,6,0.5,0,1,3.05392,0.580233652,LIG
LIG105,O=C(Cc1ccccc1)Nc1cncc(-c2cc(-c3cccnc3)cs2)c1,371.465,0.468155911,6,0.4,1,0.2,4,0.25,0,1,5.0533,0.883583675,LIG
LIG106,CC(=O)c1cc2cc(O)ccc2s1,192.239,0,1,0.066666667,1,0.2,3,0.125,0,1,2.8095,0.54314975,LIG
LIG107,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3ccc4cc(OC)ccc4c3)o2)c1,438.505,0.643270974,7,0.466666667,1,0.2,7,0.625,0,1,5.0492,0.882961614,LIG
LIG108,Cc1n[nH]cc1-c1cc2nc([C@@H]3CCCCN3)[nH]c(=O)c2s1,315.402,0.32171385,2,0.133333333,3,0.6,5,0.375,0,1,1.53392,0.349616143,LIG
LIG109,COc1cc(/C=C2\C(=O)NN(c3ccc(C#N)cc3)C2=O)ccc1O,335.319,0.37373901,3,0.2,2,0.4,5,0.375,0,1,1.73388,0.379954483,LIG
LIG110,Cc1nnc(CN(C)c2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)o1,375.388,0.478403172,4,0.266666667,0,0,8,0.75,0,1,3.35332,0.625659232,LIG
LIG111,O=c1ccc2cnc3ccc(-c4cn[nH]c4)cc3c2n1-c1ccc(F)cc1C(F)(F)F,424.357,0.606315009,3,0.2,1,0.2,4,0.25,0,1,4.605,0.815566682,LIG
LIG112,COc1ccc(-c2ccnc(NCc3ccc(Cl)c(Cl)c3)n2)cc1,360.244,0.438845557,5,0.333333333,1,0.2,4,0.25,0,1,5.0711,0.886284327,LIG
LIG113,Nc1nccc(-c2cn(C(=O)c3ccccc3)c3ccc(Br)cc23)n1,393.244,0.525044797,3,0.2,1,0.2,5,0.375,0,1,4.1315,0.743726293,LIG
LIG114,O=C1OCC/C1=C\c1ccc2ncsc2c1,231.276,0.101968477,1,0.066666667,0,0,4,0.25,0,1,2.6266,0.515399788,LIG
LIG115,COc1ccc2c(c1)[nH]c1c3ccncc3cc(CNC(C)=O)c21,319.364,0.332062983,4,0.266666667,2,0.4,3,0.125,0,1,3.0321,0.576923077,LIG
LIG116,COC(=N)c1nc2ccc3ncnc(Nc4ccc(OC)c(O)c4)c3c2s1,381.417,0.494151512,5,0.333333333,3,0.6,9,0.875,0,1,3.66907,0.673565468,LIG
LIG117,CC(C)OC(=O)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,408.439,0.56473563,5,0.333333333,1,0.2,9,0.875,0,1,4.277,0.765801851,LIG
LIG118,CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c3c(-c4ccc5nc(C)oc5c4)c[nH]c3n2)c(OC)c1,512.57,0.836736027,8,0.533333333,3,0.6,8,0.75,0,1,5.02582,0.879414353,LIG
LIG119,COc1cc(N2CCN(C)CC2)ccc1Nc1nc(N)c(C(=O)c2ccccc2)s1,423.542,0.604186149,6,0.4,2,0.4,8,0.75,0,1,3.4603,0.641890457,LIG
LIG120,COc1ccc2c3ccnc(Cl)c3n(CC#N)c2c1,271.707,0.207578219,2,0.133333333,0,0,4,0.25,0,1,3.37508,0.628960704,LIG
LIG121,CCCn1cc(-c2csc(-c3cncc(NC(=O)C4CC4)c3)c2)cn1,352.463,0.418520821,7,0.466666667,1,0.2,5,0.375,0,1,4.4321,0.78933394,LIG
LIG122,CN1CCN(C(=O)c2ccc(NC(=O)Nc3nc4ccc(O)cc4s3)cc2)CC1,411.487,0.572697305,6,0.4,3,0.6,6,0.5,0,1,3.0335,0.577135488,LIG
LIG123,CCOc1ccccc1CNc1nc(C)nc2[nH]cc(-c3ccnc(N)c3)c12,374.448,0.4759478,6,0.4,3,0.6,6,0.5,0,1,3.43942,0.6387225,LIG
LIG124,Cn1cc(-c2cnc3c(-c4csc(C(=O)NCC(F)(F)F)c4)cnn3c2)cn1,406.393,0.559391277,6,0.4,1,0.2,7,0.625,0,1,3.1504,0.594871795,LIG
LIG125,Nc1cc(-c2cn(-c3ccccc3)c3cnccc23)ccn1,286.338,0.245795828,2,0.133333333,1,0.2,4,0.25,0,1,3.6697,0.673661053,LIG
LIG126,c1cc(-c2cn(C3CCOCC3)c3cnccc23)ccn1,279.343,0.227524201,2,0.133333333,0,0,4,0.25,0,1,3.4498,0.640297375,LIG
LIG127,O=C1NN(c2ccc(Cl)c(Cl)c2)C(=O)/C1=C/c1ccc(O)c([N+](=O)[O-])c1,394.17,0.5274636,3,0.2,2,0.4,5,0.375,0,1,3.0686,0.582460932,LIG
LIG128,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,425.521,0.609355491,4,0.266666667,3,0.6,7,0.625,0,1,3.9153,0.710923987,LIG
DECOYS1,c1cc(O)cc(\C=C(\Cl)/c2nc(c3[nH]2)cc(Br)cc3)c1,349.615,0.411081565,2,0.133333333,2,0.4,2,0,0,1,4.286,0.767167349,DECOYS
DECOYS2,COC(c1c2c(c3c(cccc3)[nH]2)cc(c14)[nH]c(c45)cccc5)=O,314.344,0.31895025,2,0.133333333,2,0.4,2,0,0,1,3.7784,0.690153239,DECOYS
DECOYS3,c1c(c2nc(c3[nH]2)cc(Br)c(F)c3)cc(F)c(O)c1,325.112,0.347077323,1,0.066666667,2,0.4,2,0,0,1,3.4943,0.647049006,DECOYS
DECOYS4,c1cc(O)cc(\N=C\c2c3c(ccc(Br)c3)[nH]c2)c1,315.17,0.321107843,2,0.133333333,2,0.4,2,0,0,1,3.9047,0.709315734,DECOYS
DECOYS5,c1cc(c2n[nH]c(c3cc(Br)ccc3)c2)c(O)cc1,315.17,0.321107843,2,0.133333333,2,0.4,2,0,0,1,3.7299,0.68279472,DECOYS
DECOYS6,c1cc(c2n[nH]c(c3ccc(Br)cc3)c2)c(O)cc1,315.17,0.321107843,2,0.133333333,2,0.4,2,0,0,1,3.7299,0.68279472,DECOYS
DECOYS7,Cc1cc(O)c(c2n[nH]c(c3ccc(Br)cc3)c2)cc1,329.197,0.357747744,2,0.133333333,2,0.4,2,0,0,1,4.03832,0.729588833,DECOYS
DECOYS8,Cc1cc(O)c(c2n[nH]c(c3cc(Br)ccc3)c2)cc1,329.197,0.357747744,2,0.133333333,2,0.4,2,0,0,1,4.03832,0.729588833,DECOYS
DECOYS9,Cc1cc2c([nH]c(\C(\C#N)=C\c3c4c(cccc4)[nH]c3C)n2)cc1,312.376,0.313809641,2,0.133333333,2,0.4,2,0,0,1,3.76142,0.687576999,DECOYS
DECOYS10,Cc1c(C)cc2c([nH]c(\C=C/c3nc(c4[nH]3)cc(C)c(C)c4)n2)c1,316.408,0.324341621,2,0.133333333,2,0.4,2,0,0,1,3.87948,0.705489304,DECOYS
DECOYS11,Cc1cc(c2[nH]nc(c3ccc(Br)cc3)c2)c(O)cc1,329.197,0.357747744,2,0.133333333,2,0.4,2,0,0,1,4.03832,0.729588833,DECOYS
DECOYS12,c1c(c2n[nH]c(c3c(O)ccc(Cl)c3)c2)ccc(Br)c1,349.615,0.411081565,2,0.133333333,2,0.4,2,0,0,1,4.3833,0.781929904,DECOYS
DECOYS13,c1cc2c(nc(\C(\C#N)=C\c3c4c(ccc(Br)c4)[nH]c3)[nH]2)cc1,363.218,0.446613937,2,0.133333333,2,0.4,2,0,0,1,3.90708,0.709676832,DECOYS
DECOYS14,c1c([C@H]2Nc(c3[C@H]([C@H]24)C=CC4)ccc(C(N)=O)c3)ccc(Cl)c1,324.811,0.346291082,2,0.133333333,2,0.4,2,0,0,1,4.2654,0.764041875,DECOYS
